Date,High,Low,Open,Close,Volume,Adj Close
2021-03-08,61683.86328125,49506.0546875,51174.1171875,59302.31640625,373838576722,59302.31640625
2021-03-15,60540.9921875,53555.02734375,59267.4296875,57523.421875,393542542227,57523.421875
2021-03-22,58471.48046875,50856.5703125,57517.890625,55950.74609375,403128836645,55950.74609375
2021-03-29,60267.1875,55139.33984375,55947.8984375,58758.5546875,408348561550,58758.5546875
2021-04-05,61276.6640625,55604.0234375,58760.875,60204.96484375,406637390979,60204.96484375
2021-04-12,64863.09765625,52829.53515625,60175.9453125,56216.18359375,508118943571,56216.18359375
2021-04-19,57520.0546875,47159.484375,56191.5859375,49004.25390625,444719708699,49004.25390625
2021-04-26,58448.33984375,48852.796875,49077.79296875,56631.078125,335231529997,56631.078125
2021-05-03,59464.61328125,52969.0546875,56620.2734375,58232.31640625,458766142208,58232.31640625
2021-05-10,59519.35546875,43963.3515625,58250.87109375,46456.05859375,483967915938,46456.05859375
2021-05-17,46623.55859375,30681.49609375,46415.8984375,34770.58203125,563629210102,34770.58203125
2021-05-24,40782.078125,33520.73828125,34700.36328125,35678.12890625,350206489990,35678.12890625
2021-05-31,39478.953125,34241.9453125,35658.59375,35862.37890625,248884892724,35862.37890625
2021-06-07,39322.78125,31114.443359375,35835.265625,39097.859375,298428017340,39097.859375
2021-06-14,41295.26953125,33432.07421875,39016.96875,35698.296875,269949570053,35698.296875
2021-06-21,35721.640625,28893.62109375,35641.14453125,34649.64453125,305541799334,34649.64453125
2021-06-28,36542.109375,32770.6796875,34679.12109375,35287.78125,231729218470,35287.78125
2021-07-05,35284.34375,32133.18359375,35284.34375,34240.1875,178445862441,34240.1875
2021-07-12,34592.15625,31100.673828125,34254.015625,31796.810546875,147501894180,31796.810546875
2021-07-19,35364.92578125,29360.955078125,31800.01171875,35350.1875,156414750211,35350.1875
2021-07-26,42541.6796875,35287.3125,35384.03125,39974.89453125,237553113912,39974.89453125
2021-08-02,45282.3515625,37458.00390625,39907.26171875,43798.1171875,226902699564,43798.1171875
2021-08-09,48098.68359375,42848.6875,43791.92578125,47047.00390625,234268000892,47047.00390625
2021-08-16,49717.01953125,43998.31640625,47019.9609375,49321.65234375,236289722726,49321.65234375
2021-08-23,50482.078125,46394.28125,49291.67578125,48829.83203125,223947952688,48829.83203125
2021-08-30,51868.6796875,46562.4375,48834.8515625,51753.41015625,256225023619,51753.41015625
2021-09-06,52853.765625,43285.20703125,51769.00390625,46063.26953125,293311066613,46063.26953125
2021-09-13,48791.78125,43591.3203125,46057.21484375,47260.21875,226141953163,47260.21875
2021-09-20,47328.19921875,39787.609375,47261.40625,43208.5390625,270099994433,43208.5390625
2021-09-27,49130.69140625,40829.66796875,43234.18359375,48199.953125,223042115392,48199.953125
2021-10-04,56401.3046875,47045.00390625,48208.90625,54771.578125,261919545521,54771.578125
2021-10-11,62757.12890625,54370.97265625,54734.125,61553.6171875,277084548345,61553.6171875
2021-10-18,66930.390625,59643.34375,61548.8046875,60930.8359375,257856648064,60930.8359375
2021-10-25,63729.32421875,58206.91796875,60893.92578125,61318.95703125,256114057651,61318.95703125
2021-11-01,64242.79296875,59695.18359375,61320.44921875,63326.98828125,227064607869,63326.98828125
2021-11-08,68789.625,62333.9140625,63344.06640625,65466.83984375,259776276520,65466.83984375
2021-11-15,66281.5703125,55705.1796875,65521.2890625,58730.4765625,253419951009,58730.4765625
2021-11-22,59367.96875,53569.765625,58706.84765625,57248.45703125,243930001011,57248.45703125
2021-11-29,59113.40234375,42874.6171875,57291.90625,49368.84765625,276690611812,49368.84765625
2021-12-06,51934.78125,46942.34765625,49413.48046875,50098.3359375,208148497532,50098.3359375
2021-12-13,50205.0,45598.44140625,50114.7421875,46707.015625,214770398202,46707.015625
2021-12-20,51814.02734375,45579.80859375,46707.0625,50809.515625,175052499792,50809.515625
2021-12-27,51956.328125,45819.953125,50802.609375,47345.21875,203998848909,47345.21875
2022-01-03,47510.7265625,40672.27734375,47343.54296875,41911.6015625,276182787152,41911.6015625
2022-01-10,44278.421875,39796.5703125,41910.23046875,43113.87890625,199473804544,43113.87890625
2022-01-17,43413.0234375,34349.25,43118.12109375,36276.8046875,196326044073,36276.8046875
2022-01-24,38825.41015625,33184.05859375,36275.734375,37917.6015625,178727434896,37917.6015625
2022-01-31,42500.78515625,36375.5390625,37920.28125,42412.43359375,143977109319,42412.43359375
2022-02-07,45661.171875,41748.15625,42406.78125,42197.515625,176958095731,42197.515625
2022-02-14,44667.21875,38112.8125,42157.3984375,38431.37890625,144975794552,38431.37890625
2022-02-21,40005.34765625,34459.21875,38423.2109375,37709.78515625,190469710084,37709.78515625
2022-02-28,45077.578125,37518.21484375,37706.0,38419.984375,187557375751,38419.984375
2022-03-07,42465.671875,37260.203125,38429.3046875,37849.6640625,175966999156,37849.6640625
2022-03-14,42316.5546875,37680.734375,37846.31640625,41247.82421875,184097042034,41247.82421875
2022-03-21,46827.546875,40668.04296875,41246.1328125,46820.4921875,188591889758,46820.4921875
2022-03-28,48086.8359375,44403.140625,46821.8515625,46453.56640625,223334181931,46453.56640625
2022-04-04,47106.140625,42021.20703125,46445.2734375,42207.671875,188557001876,42207.671875
2022-04-11,42424.58984375,39373.05859375,42201.0390625,39716.953125,174652159709,39716.953125
2022-04-18,42893.58203125,38696.19140625,39721.203125,39469.29296875,184314843516,39469.29296875
2022-04-25,40713.890625,37585.7890625,39472.60546875,38469.09375,216681007567,38469.09375
2022-05-02,39902.94921875,33878.96484375,38472.1875,34059.265625,239044762282,34059.265625
2022-05-09,34222.07421875,26350.490234375,34060.015625,31305.11328125,357800928090,31305.11328125
2022-05-16,31305.341796875,28708.955078125,31304.375,30323.72265625,196429842104,30323.72265625
2022-05-23,30590.5859375,28261.90625,30309.396484375,29445.95703125,212594819496,29445.95703125
2022-05-30,32249.86328125,29303.572265625,29443.365234375,29906.662109375,203063587161,29906.662109375
2022-06-06,31693.291015625,29311.68359375,29910.283203125,30111.998046875,124652374694,30111.998046875
2022-06-10,30229.697265625,28979.560546875,30086.400390625,29155.880859375,29641091072,29155.880859375
